[2025-05-11 19:14:50] [INFO    ] discord.client: logging in using static token
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'GamerBot2000', 'primary_guild': None, 'mfa_enabled': False, 'id': '1370564572154433587', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6793', 'clan': None, 'bot': True, 'avatar': 'd6f68bc5248942db55c85db299d64b85'}, 'session_type': 'normal', 'session_id': '943b728a91b3dce88d672629a70f6f74', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '875784416616648765'}, {'unavailable': True, 'id': '1141889049041326080'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'newark', 'atlanta', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1370564572154433587', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-bpbh",{"micros":136362,"calls":["id_created",{"micros":829,"calls":[]},"session_lookup_time",{"micros":2999,"calls":[]},"session_lookup_finished",{"micros":18,"calls":[]},"discord-sessions-prd-2-45",{"micros":132103,"calls":["start_session",{"micros":119161,"calls":["discord-api-rpc-78cf767f7b-2fmnx",{"micros":106459,"calls":["get_user",{"micros":17378},"get_guilds",{"micros":9501},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1410},"apex_user_experiments",{"micros":3},"user_activities",{"micros":2}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":285,"calls":[]},"guilds_started",{"micros":137,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12470,"calls":[]},"connect_finished",{"micros":12475,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-05-11 19:14:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-11 19:14:51] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 943b728a91b3dce88d672629a70f6f74).
[2025-05-11 19:14:51] [DEBUG   ] discord.client: Dispatching event connect
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'public_updates_channel_id': None, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '875784416616648765', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746841897367, 'unicode_emoji': None, 'tags': {'bot_id': '1370564572154433587'}, 'position': 1, 'permissions': '563276639759424', 'name': 'GamerBot2000', 'mentionable': False, 'managed': True, 'id': '1370568144984473712', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'system_channel_flags': 0, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '875784416616648767', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '875784416616648767', 'name': 'general', 'last_message_id': '1370812956740419624', 'id': '875784416616648768', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '875784416616648767', 'name': 'clips-and-highlights', 'last_message_id': None, 'id': '875784416616648769', 'flags': 0}, {'version': 0, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '875784416616648770', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '875784416616648770', 'name': 'Lobby', 'last_message_id': None, 'id': '875784416616648771', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '875784416616648770', 'name': 'Gaming', 'last_message_id': None, 'id': '875784416616648772', 'flags': 0, 'bitrate': 64000}], 'banner': None, 'guild_scheduled_events': [], 'stage_instances': [], 'profile': None, 'hub_type': None, 'application_command_counts': {}, 'max_members': 500000, 'latest_onboarding_question_id': None, 'member_count': 2, 'inventory_settings': None, 'application_id': None, 'emojis': [], 'afk_timeout': 300, 'nsfw': False, 'joined_at': '2025-05-10T01:08:29.719000+00:00', 'id': '875784416616648765', 'members': [{'user': {'username': 'GamerBot2000', 'public_flags': 0, 'primary_guild': None, 'id': '1370564572154433587', 'global_name': None, 'display_name': None, 'discriminator': '6793', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6f68bc5248942db55c85db299d64b85'}, 'roles': ['1370568144984473712'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T01:08:29.719000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'vanity_url_code': None, 'premium_progress_bar_enabled': False, 'discovery_splash': None, 'incidents_data': None, 'presences': [], 'system_channel_id': '875784416616648768', 'name': "GamerMan96's Crib", 'owner_id': '633455643675590656', 'safety_alerts_channel_id': None, 'mfa_level': 0, 'premium_features': None, 'afk_channel_id': None, 'threads': [], 'features': [], 'description': None, 'default_message_notifications': 0, 'rules_channel_id': None, 'stickers': [], 'splash': None, 'embedded_activities': [], 'premium_tier': 0, 'max_video_channel_users': 25, 'home_header': None, 'verification_level': 0, 'large': False, 'lazy': True, 'region': 'deprecated', 'unavailable': False, 'icon': None, 'nsfw_level': 0, 'moderator_reporting': None, 'max_stage_video_channel_users': 50, 'activity_instances': [], 'soundboard_sounds': [], 'version': 1678820011637, 'preferred_locale': 'en-US', 'explicit_content_filter': 0, 'voice_states': [], 'premium_subscription_count': 0}}
[2025-05-11 19:14:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'public_updates_channel_id': None, 'roles': [{'version': 1692317964683, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1141889049041326080', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731777305739, 'unicode_emoji': None, 'tags': {}, 'position': 12, 'permissions': '1024', 'name': 'Special Role', 'mentionable': False, 'managed': False, 'id': '1157782666494611546', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731777305736, 'unicode_emoji': None, 'tags': {'bot_id': '411916947773587456'}, 'position': 11, 'permissions': '8', 'name': 'Jockie Music', 'mentionable': False, 'managed': True, 'id': '1200486142211014680', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731777305733, 'unicode_emoji': None, 'tags': {}, 'position': 10, 'permissions': '0', 'name': 'Certified Gangsta Nigga', 'mentionable': False, 'managed': False, 'id': '1209690238428119040', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1731777305729, 'unicode_emoji': None, 'tags': {}, 'position': 9, 'permissions': '0', 'name': 'KILLER MIKE NUMBER ONE FAN!!!! 😎', 'mentionable': False, 'managed': False, 'id': '1211857902818566204', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1731777305726, 'unicode_emoji': None, 'tags': {'bot_id': '1075324879718592612'}, 'position': 8, 'permissions': '397284863040', 'name': 'Aen', 'mentionable': False, 'managed': True, 'id': '1220161038008188980', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731777305719, 'unicode_emoji': None, 'tags': {'bot_id': '513423712582762502'}, 'position': 6, 'permissions': '562949990140929', 'name': 'TTS Bot!', 'mentionable': False, 'managed': True, 'id': '1229963854298091535', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731777305723, 'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '8', 'name': 'Fat Ahh Mod', 'mentionable': False, 'managed': False, 'id': '1231003072898142299', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1731777305716, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '16778240', 'name': 'Vc Mover', 'mentionable': False, 'managed': False, 'id': '1239701986476298260', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 12745742}, 'color': 12745742}, {'version': 1731777305710, 'unicode_emoji': None, 'tags': {'bot_id': '270904126974590976'}, 'position': 4, 'permissions': '105227086912', 'name': 'Dank Memer', 'mentionable': False, 'managed': True, 'id': '1249146436009066568', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1731777305707, 'unicode_emoji': None, 'tags': {'premium_subscriber': None}, 'position': 3, 'permissions': '2248473465835073', 'name': 'Server Booster', 'mentionable': False, 'managed': True, 'id': '1286251669956464642', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 16023551}, 'color': 16023551}, {'version': 1731777305704, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'Shitter', 'mentionable': False, 'managed': False, 'id': '1299139334670258207', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 11027200}, 'color': 11027200}, {'version': 1731777305861, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Talking STICK', 'mentionable': False, 'managed': False, 'id': '1307393116474441788', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746843176747, 'unicode_emoji': None, 'tags': {'bot_id': '1370564572154433587'}, 'position': 1, 'permissions': '563276639759424', 'name': 'GamerBot2000', 'mentionable': False, 'managed': True, 'id': '1370584364412436503', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'system_channel_flags': 0, 'channels': [{'version': 1692370712480, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1141889049569804429', 'flags': 0}, {'version': 1737351450002, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1141889049569804430', 'flags': 0}, {'version': 1746930191851, 'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 1, 'id': '657762685831872535', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '716709953129414656', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1141889049041326080', 'deny': '0', 'allow': '0'}, {'type': 1, 'id': '333362586139492352', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '330574407476969475', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '591917803594973186', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '530549948815769620', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '779040679401226240', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '892935575747825784', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '829827591972192307', 'deny': '0', 'allow': '1024'}], 'parent_id': '1141889049569804429', 'nsfw': False, 'name': 'general', 'last_pin_timestamp': '2024-10-04T23:13:31+00:00', 'last_message_id': '1371262052785455146', 'id': '1141889049569804431', 'icon_emoji': {'name': '🌐', 'id': None}, 'flags': 0}, {'version': 1737351450012, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1141889049569804430', 'name': 'General', 'last_message_id': '1368639717490298992', 'id': '1141889049569804432', 'icon_emoji': {'name': '🌐', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1737351449249, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [{'type': 0, 'id': '1141889049041326080', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1157782666494611546', 'deny': '0', 'allow': '1049600'}], 'parent_id': '1141889049569804430', 'name': 'Music channel for kitten', 'last_message_id': '1251338813217833040', 'id': '1153103192842834031', 'icon_emoji': {'name': '🎵', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1737351449556, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1141889049569804430', 'name': 'General 2', 'last_message_id': '1340493706221846600', 'id': '1157894026738024478', 'icon_emoji': {'name': '🌐', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1716704373458, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1141889049569804429', 'name': 'bot-commands', 'last_pin_timestamp': '2024-05-26T06:19:33+00:00', 'last_message_id': '1370869373044002906', 'id': '1161465432398647398', 'icon_emoji': {'name': '🤖', 'id': None}, 'flags': 0}, {'version': 1737351449216, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1141889049041326080', 'deny': '1049600', 'allow': '0'}], 'parent_id': '1141889049569804430', 'name': 'Kevin and Efe ONLYYYYY', 'last_message_id': '1231797342827577345', 'id': '1170492977177706587', 'icon_emoji': {'name': '🌐', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1737351449698, 'user_limit': 2, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1141889049569804430', 'name': 'Duos', 'last_message_id': '1302353742640975872', 'id': '1170496989092401192', 'icon_emoji': {'name': '👥', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1699138684838, 'user_limit': 3, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1141889049569804430', 'name': 'Trios', 'last_message_id': '1291865329068150898', 'id': '1170497173541109810', 'icon_emoji': {'name': '🎮', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1731777315511, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1307393116474441788', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1141889049041326080', 'deny': '1024', 'allow': '0'}], 'parent_id': '1141889049569804429', 'name': 'no-mic', 'last_message_id': '1370894561173438474', 'id': '1229972522682945538', 'flags': 0}, {'version': 1737351449234, 'user_limit': 4, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1141889049569804430', 'name': 'Squads', 'last_message_id': '1321935808919375883', 'id': '1255306597761024073', 'flags': 0, 'bitrate': 64000}], 'banner': None, 'guild_scheduled_events': [], 'stage_instances': [], 'profile': None, 'hub_type': None, 'application_command_counts': {}, 'max_members': 500000, 'latest_onboarding_question_id': None, 'member_count': 38, 'inventory_settings': None, 'application_id': None, 'emojis': [{'version': 1697490587957, 'roles': [], 'require_colons': True, 'name': 'FakeNitroEmoji', 'managed': False, 'id': '1163584603487993856', 'available': True, 'animated': False}, {'version': 1697493584241, 'roles': [], 'require_colons': True, 'name': 'destroyman', 'managed': False, 'id': '1163597171187273828', 'available': True, 'animated': False}, {'version': 1699396659646, 'roles': [], 'require_colons': True, 'name': 'IMG_7449', 'managed': False, 'id': '1171579247903641661', 'available': True, 'animated': False}, {'version': 1708475552819, 'roles': [], 'require_colons': True, 'name': 'asodsaodjoa', 'managed': False, 'id': '1209658885913313362', 'available': True, 'animated': False}, {'version': 1714180094259, 'roles': [], 'require_colons': True, 'name': 'FundinNerdEmoji', 'managed': False, 'id': '1233585412270981122', 'available': True, 'animated': False}, {'version': 1726928722650, 'roles': [], 'require_colons': True, 'name': 'emoji_6', 'managed': False, 'id': '1287057089902149723', 'available': True, 'animated': False}, {'version': 1726928732368, 'roles': [], 'require_colons': True, 'name': 'emoji_7', 'managed': False, 'id': '1287057130519793675', 'available': True, 'animated': False}], 'afk_timeout': 300, 'nsfw': False, 'joined_at': '2025-05-10T02:12:56.781692+00:00', 'id': '1141889049041326080', 'members': [{'user': {'username': '9st2', 'public_flags': 64, 'primary_guild': {'tag': 'UD', 'identity_guild_id': '1324902952388792494', 'identity_enabled': True, 'badge': '86735389348f3eacfa519eb553df38fd'}, 'id': '755042663262060717', 'global_name': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'UD', 'identity_guild_id': '1324902952388792494', 'identity_enabled': True, 'badge': '86735389348f3eacfa519eb553df38fd'}, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-01-21T22:02:39.483000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'GamerBot2000', 'public_flags': 0, 'primary_guild': None, 'id': '1370564572154433587', 'global_name': None, 'display_name': None, 'discriminator': '6793', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6f68bc5248942db55c85db299d64b85'}, 'roles': ['1370584364412436503'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T02:12:56.781692+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '9st2', 'public_flags': 64, 'primary_guild': {'tag': 'UD', 'identity_guild_id': '1324902952388792494', 'identity_enabled': True, 'badge': '86735389348f3eacfa519eb553df38fd'}, 'id': '755042663262060717', 'global_name': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'UD', 'identity_guild_id': '1324902952388792494', 'identity_enabled': True, 'badge': '86735389348f3eacfa519eb553df38fd'}, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-01-21T22:02:39.483000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'vanity_url_code': None, 'premium_progress_bar_enabled': False, 'discovery_splash': None, 'incidents_data': {'raid_detected_at': None, 'invites_disabled_until': '2024-08-10T18:25:07.185000+00:00', 'dms_disabled_until': None, 'dm_spam_detected_at': None}, 'presences': [], 'system_channel_id': '1141889049569804431', 'name': 'Bleach Brave Souls Fanclub 🍇', 'owner_id': '567783432050966561', 'safety_alerts_channel_id': None, 'mfa_level': 0, 'premium_features': None, 'afk_channel_id': None, 'threads': [], 'features': ['CHANNEL_ICON_EMOJIS_GENERATED', 'SOUNDBOARD', 'GUESTS_ENABLED'], 'description': None, 'default_message_notifications': 0, 'rules_channel_id': None, 'stickers': [], 'splash': None, 'embedded_activities': [], 'premium_tier': 0, 'max_video_channel_users': 25, 'home_header': None, 'verification_level': 0, 'large': False, 'lazy': True, 'region': 'deprecated', 'unavailable': False, 'icon': '0c9be0ca617231874a0de56cf335ec20', 'nsfw_level': 0, 'moderator_reporting': None, 'max_stage_video_channel_users': 50, 'activity_instances': [], 'soundboard_sounds': [{'volume': 1.0, 'user_id': '779040679401226240', 'sound_id': '1321707573048639528', 'name': 'GOKU', 'guild_id': '1141889049041326080', 'emoji_name': '🔥', 'emoji_id': None, 'available': True}], 'version': 1743795625573, 'preferred_locale': 'en-US', 'explicit_content_filter': 0, 'voice_states': [{'user_id': '755042663262060717', 'suppress': False, 'session_id': 'eaa720ccb7f947cfc01989cb36ebeae0', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1141889049569804432'}], 'premium_subscription_count': 0}}
[2025-05-11 19:14:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 4, 'op': 0, 'd': {'nonce': 'c62cb5f8f5057e339f8a11e62072b4a9', 'members': [{'user': {'username': 'sirexez', 'public_flags': 256, 'primary_guild': None, 'id': '633455643675590656', 'global_name': 'GAMERMAN!!!!!!!!!!!!', 'display_name': 'GAMERMAN!!!!!!!!!!!!', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1349486948942745695', 'expires_at': None, 'asset': 'a_44d96dca4f514777925f23d841f36fac'}, 'avatar': '45dee54b5b8c03821ad3d20844e8a984'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2021-08-13T16:54:36.218000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'GamerBot2000', 'public_flags': 0, 'primary_guild': None, 'id': '1370564572154433587', 'global_name': None, 'display_name': None, 'discriminator': '6793', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6f68bc5248942db55c85db299d64b85'}, 'roles': ['1370568144984473712'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-10T01:08:29.719000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '875784416616648765', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-11 19:14:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-11 19:14:51] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 875784416616648765.
